Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
ALK,0.17,0.151,2019-04-25 16:01:00,2019-04-25,2019-03-13,2019-06-07
AMZN,7.09,4.667,2019-04-25 16:01:00,2019-04-25,2019-03-13,2019-06-07
CERN,0.61,0.615,2019-04-25 16:01:00,2019-04-25,2019-03-13,2019-06-07
TMUS,1.06,0.92,2019-04-25 16:03:00,2019-04-25,2019-03-13,2019-06-07
COF,2.9,2.7060000000000004,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
DLR,1.92,1.63,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
IEX,1.44,1.369,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
ILMN,1.6,1.338,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
VRSN,1.31,1.25,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
INTC,0.89,0.87,2019-04-25 16:06:00,2019-04-25,2019-03-13,2019-06-07
SIVB,5.44,4.782,2019-04-25 16:06:00,2019-04-25,2019-03-13,2019-06-07
RSG,0.73,0.7190000000000001,2019-04-25 16:07:00,2019-04-25,2019-03-13,2019-06-07
AJG,1.63,1.609,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
F,0.44,0.256,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
JNPR,0.26,0.212,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
MHK,2.13,2.064,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
PKI,0.69,0.662,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
PFG,1.43,1.308,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
FTI,0.06,0.318,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
UHS,2.45,2.605,2019-04-25 16:16:00,2019-04-25,2019-03-13,2019-06-07
FTV,0.69,0.691,2019-04-25 16:17:00,2019-04-25,2019-03-13,2019-06-07
AFL,1.13,1.0590000000000002,2019-04-25 16:19:00,2019-04-25,2019-03-13,2019-06-07
DFS,2.15,2.017,2019-04-25 16:19:00,2019-04-25,2019-03-13,2019-06-07
EMN,1.77,1.867,2019-04-25 16:39:00,2019-04-25,2019-03-13,2019-06-07
NOV,-0.18,-0.08,2019-04-25 18:15:00,2019-04-25,2019-03-13,2019-06-07
WY,0.11,0.092,2019-04-26 03:05:00,2019-04-26,2019-03-14,2019-06-10
AON,3.31,3.302,2019-04-26 06:00:00,2019-04-26,2019-03-14,2019-06-10
ZBH,1.87,1.8630000000000002,2019-04-26 06:00:00,2019-04-26,2019-03-14,2019-06-10
COG,0.73,0.6509999999999999,2019-04-26 06:30:00,2019-04-26,2019-03-14,2019-06-10
LYB,2.22,2.17,2019-04-26 06:30:00,2019-04-26,2019-03-14,2019-06-10
CL,0.67,0.6629999999999999,2019-04-26 06:55:00,2019-04-26,2019-03-14,2019-06-10
VTR,0.99,0.956,2019-04-26 06:59:00,2019-04-26,2019-03-14,2019-06-10
ADM,0.46,0.595,2019-04-26 07:00:00,2019-04-26,2019-03-14,2019-06-10
IPG,0.11,0.048,2019-04-26 07:00:00,2019-04-26,2019-03-14,2019-06-10
AAL,0.52,0.506,2019-04-26 07:30:00,2019-04-26,2019-03-14,2019-06-10
XOM,0.55,0.716,2019-04-26 08:00:00,2019-04-26,2019-03-14,2019-06-10
CVX,1.39,1.3030000000000002,2019-04-26 08:30:00,2019-04-26,2019-03-14,2019-06-10
L,1.2,0.96,2019-04-29 06:00:00,2019-04-29,2019-03-15,2019-06-11
VNO,1.3,1.34,2019-04-29 11:06:00,2019-04-29,2019-03-15,2019-06-11
SBAC,1.72,1.663,2019-04-29 16:01:00,2019-04-29,2019-03-15,2019-06-11
GOOGL,10.81,10.540999999999999,2019-04-29 16:02:00,2019-04-29,2019-03-15,2019-06-11
LEG,0.49,0.522,2019-04-29 16:07:00,2019-04-29,2019-03-15,2019-06-11
ARE,1.71,1.682,2019-04-29 16:10:00,2019-04-29,2019-03-15,2019-06-11
MGM,0.14,0.213,2019-04-29 16:15:00,2019-04-29,2019-03-15,2019-06-11
LDOS,1.13,1.0,2019-04-30 06:00:00,2019-04-30,2019-03-18,2019-06-12
WCG,3.69,3.062,2019-04-30 06:00:00,2019-04-30,2019-03-18,2019-06-12
IR,0.89,0.797,2019-04-30 06:15:00,2019-04-30,2019-03-18,2019-06-12
LLY,1.33,1.301,2019-04-30 06:25:00,2019-04-30,2019-03-18,2019-06-12
GE,0.14,0.08900000000000001,2019-04-30 06:29:00,2019-04-30,2019-03-18,2019-06-12
NLSN,0.35,0.319,2019-04-30 06:30:00,2019-04-30,2019-03-18,2019-06-12
WELL,1.02,1.0190000000000001,2019-04-30 06:30:00,2019-04-30,2019-03-18,2019-06-12
ETN,1.26,1.244,2019-04-30 06:34:00,2019-04-30,2019-03-18,2019-06-12
