Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
FTI,0.06,0.318,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
FTNT,0.46,0.387,2019-05-02 16:15:00,2019-05-02,2019-03-20,2019-06-14
FTV,0.69,0.691,2019-04-25 16:17:00,2019-04-25,2019-03-13,2019-06-07
GD,2.56,2.415,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
GE,0.14,0.08900000000000001,2019-04-30 06:29:00,2019-04-30,2019-03-18,2019-06-12
GILD,1.76,1.607,2019-05-02 16:01:00,2019-05-02,2019-03-20,2019-06-14
GIS,0.83,0.6890000000000001,2019-03-20 07:00:00,2019-03-20,2019-02-05,2019-05-02
GL,1.64,1.5859999999999999,2019-04-17 16:10:00,2019-04-17,2019-03-06,2019-05-31
GLW,0.4,0.395,2019-04-30 07:16:00,2019-04-30,2019-03-18,2019-06-12
GM,1.41,1.1,2019-04-30 08:00:00,2019-04-30,2019-03-18,2019-06-12
GOOGL,10.81,10.540999999999999,2019-04-29 16:02:00,2019-04-29,2019-03-15,2019-06-11
GPC,1.28,1.304,2019-04-18 08:32:00,2019-04-18,2019-03-07,2019-06-03
GPN,1.34,1.2930000000000001,2019-05-02 06:55:00,2019-05-02,2019-03-20,2019-06-14
GPS,0.72,0.688,2019-02-28 16:15:00,2019-02-28,2019-01-15,2019-04-11
GRMN,0.73,0.706,2019-05-01 07:00:00,2019-05-01,2019-03-19,2019-06-13
GS,5.71,4.968,2019-04-15 07:30:00,2019-04-15,2019-03-04,2019-05-29
GWW,4.51,4.45,2019-04-22 08:00:00,2019-04-22,2019-03-08,2019-06-04
HAL,0.23,0.223,2019-04-22 06:45:00,2019-04-22,2019-03-08,2019-06-04
HAS,0.21,-0.11199999999999999,2019-04-23 06:30:00,2019-04-23,2019-03-11,2019-06-05
HBAN,0.32,0.316,2019-04-25 07:46:00,2019-04-25,2019-03-13,2019-06-07
HBI,0.27,0.254,2019-05-02 07:15:00,2019-05-02,2019-03-20,2019-06-14
HCA,2.97,2.319,2019-04-30 08:15:00,2019-04-30,2019-03-18,2019-06-12
HD,2.27,2.1630000000000003,2019-02-26 06:00:00,2019-02-26,2019-01-11,2019-04-09
HES,0.09,-0.266,2019-04-25 07:30:00,2019-04-25,2019-03-13,2019-06-07
HFC,0.54,0.385,2019-05-02 06:18:00,2019-05-02,2019-03-20,2019-06-14
HIG,1.39,1.234,2019-05-01 16:14:00,2019-05-01,2019-03-19,2019-06-13
HII,2.85,3.228,2019-05-02 07:15:00,2019-05-02,2019-03-20,2019-06-14
HLT,0.8,0.7609999999999999,2019-05-01 06:00:00,2019-05-01,2019-03-19,2019-06-13
HOG,0.98,0.855,2019-04-23 06:50:00,2019-04-23,2019-03-11,2019-06-05
HOLX,0.58,0.5710000000000001,2019-01-30 16:01:00,2019-01-30,2018-12-14,2019-03-14
HON,1.92,1.8330000000000002,2019-04-18 06:30:00,2019-04-18,2019-03-07,2019-06-03
HP,-0.1,0.294,2019-01-29 17:09:00,2019-01-29,2018-12-13,2019-03-13
HPE,0.42,0.348,2019-02-21 16:05:00,2019-02-21,2019-01-08,2019-04-04
HPQ,0.52,0.517,2019-02-27 16:05:00,2019-02-27,2019-01-14,2019-04-10
HRB,-0.58,-0.552,2019-03-07 08:20:00,2019-03-07,2019-01-23,2019-04-18
HRL,0.44,0.44299999999999995,2019-02-21 06:30:00,2019-02-21,2019-01-08,2019-04-04
HSIC,0.8,0.759,2019-05-07 06:30:00,2019-05-07,2019-03-25,2019-06-19
HST,0.48,0.444,2019-05-01 16:30:00,2019-05-01,2019-03-19,2019-06-13
HSY,1.59,1.4669999999999999,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
HUM,4.48,4.29,2019-05-01 07:32:00,2019-05-01,2019-03-19,2019-06-13
IBM,2.25,2.217,2019-04-16 16:05:00,2019-04-16,2019-03-05,2019-05-30
ICE,0.92,0.897,2019-05-02 07:30:00,2019-05-02,2019-03-20,2019-06-14
IDXX,1.17,1.052,2019-05-01 06:30:00,2019-05-01,2019-03-19,2019-06-13
IEX,1.44,1.369,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
IFF,1.57,1.5019999999999998,2019-05-06 16:17:00,2019-05-06,2019-03-22,2019-06-18
ILMN,1.6,1.338,2019-04-25 16:05:00,2019-04-25,2019-03-13,2019-06-07
INCY,0.62,0.391,2019-04-30 07:00:00,2019-04-30,2019-03-18,2019-06-12
INFO,0.6,0.5660000000000001,2019-03-26 06:00:00,2019-03-26,2019-02-11,2019-05-08
INTC,0.89,0.87,2019-04-25 16:06:00,2019-04-25,2019-03-13,2019-06-07
INTU,0.72,0.8640000000000001,2019-02-21 16:00:00,2019-02-21,2019-01-08,2019-04-04
IP,1.11,0.9059999999999999,2019-04-25 07:00:00,2019-04-25,2019-03-13,2019-06-07
IPG,0.11,0.048,2019-04-26 07:00:00,2019-04-26,2019-03-14,2019-06-10
IPGP,1.02,1.099,2019-04-30 08:00:00,2019-04-30,2019-03-18,2019-06-12
IQV,1.53,1.506,2019-05-01 07:00:00,2019-05-01,2019-03-19,2019-06-13
IR,0.89,0.797,2019-04-30 06:15:00,2019-04-30,2019-03-18,2019-06-12
IRM,0.48,0.512,2019-04-25 06:00:00,2019-04-25,2019-03-13,2019-06-07
ISRG,2.61,2.699,2019-04-18 16:05:00,2019-04-18,2019-03-07,2019-06-03
IT,0.58,0.527,2019-05-07 06:00:00,2019-05-07,2019-03-25,2019-06-19
ITW,1.81,1.805,2019-04-25 08:00:00,2019-04-25,2019-03-13,2019-06-07
IVZ,0.56,0.527,2019-04-25 06:55:00,2019-04-25,2019-03-13,2019-06-07
JBHT,1.09,1.248,2019-04-15 16:01:00,2019-04-15,2019-03-04,2019-05-29
JCI,0.26,0.24,2019-02-01 06:55:00,2019-02-01,2018-12-18,2019-03-18
JEC,1.14,1.038,2019-02-06 06:40:00,2019-02-06,2018-12-21,2019-03-21
JKHY,0.91,0.8540000000000001,2019-02-05 16:01:00,2019-02-05,2018-12-20,2019-03-20
JNJ,2.1,2.035,2019-04-16 06:40:00,2019-04-16,2019-03-05,2019-05-30
JNPR,0.26,0.212,2019-04-25 16:15:00,2019-04-25,2019-03-13,2019-06-07
JPM,2.59,2.353,2019-04-12 06:47:00,2019-04-12,2019-03-01,2019-05-28
JWN,1.48,1.4169999999999998,2019-02-28 16:05:00,2019-02-28,2019-01-15,2019-04-11
K,1.01,0.948,2019-05-02 08:00:00,2019-05-02,2019-03-20,2019-06-14
KEY,0.4,0.414,2019-04-18 06:30:00,2019-04-18,2019-03-07,2019-06-03
KEYS,0.93,0.804,2019-02-21 16:05:00,2019-02-21,2019-01-08,2019-04-04
KHC,0.84,0.9390000000000001,2019-02-21 17:01:00,2019-02-21,2019-01-08,2019-04-04
KIM,0.38,0.35700000000000004,2019-05-02 07:30:00,2019-05-02,2019-03-20,2019-06-14
KLAC,2.44,2.202,2019-01-29 16:15:00,2019-01-29,2018-12-13,2019-03-13
KMB,1.66,1.5390000000000001,2019-04-22 07:30:00,2019-04-22,2019-03-08,2019-06-04
KMI,0.25,0.243,2019-04-17 16:05:00,2019-04-17,2019-03-06,2019-05-31
KMX,1.13,1.026,2019-03-29 07:35:00,2019-03-29,2019-02-14,2019-05-13
KO,0.48,0.46299999999999997,2019-04-23 07:03:00,2019-04-23,2019-03-11,2019-06-05
KR,0.48,0.526,2019-03-07 07:45:00,2019-03-07,2019-01-23,2019-04-18
KSS,2.24,2.181,2019-03-05 07:00:00,2019-03-05,2019-01-18,2019-04-16
KSU,1.54,1.436,2019-04-17 08:00:00,2019-04-17,2019-03-06,2019-05-31
L,1.2,0.96,2019-04-29 06:00:00,2019-04-29,2019-03-15,2019-06-11
LB,2.14,2.081,2019-02-27 16:15:00,2019-02-27,2019-01-14,2019-04-10
LDOS,1.13,1.0,2019-04-30 06:00:00,2019-04-30,2019-03-18,2019-06-12
LEG,0.49,0.522,2019-04-29 16:07:00,2019-04-29,2019-03-15,2019-06-11
LEN,0.74,0.754,2019-03-27 06:00:00,2019-03-27,2019-02-12,2019-05-09
LH,2.62,2.5340000000000003,2019-04-30 06:56:00,2019-04-30,2019-03-18,2019-06-12
